user_id,asin,rating,timestamp
AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,B00HLSSQKK,5.0,1608046142433
AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,B002PXW04Y,4.0,1470972512000
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B00HCR5090,5.0,1396827173000
AFW2PDT3AMT4X3PYQG7FJZH5FXFA,B0000ARXXS,5.0,1181880255000
AFPHKIJFGIU4G4POXRFCEF5RJJHA,B001THPA4Y,5.0,1427767342000
AGRUKTHXESHTPHHK4GQYQNRFZP3A,B00005R8BR,5.0,1673733658264
AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,B002PXVZ5O,5.0,1635870688031
AEYGPUCRKH7G4VM22FM3VAKSQ23Q,B00006KSSX,5.0,1362707862000
AF3I5VHFNDTD3CUFMEPULGWMAMKA,B000W3MB5M,5.0,1297349497000
AES64NEMPYRENBT6PGCOYYBVDSWQ,B000FTJ7JQ,5.0,1434475361000
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01IAIX74Y,5.0,1641846419925
AETAH6GK4TSOTHIVPBFPYZMIQRRA,B01FV50UIK,5.0,1640114182641
AHWAIBCVNSK4HAJFE5DNRP636L2A,B002PXVYEQ,5.0,1455837988000
AHPFHP43AXWRYZZ4HPNCW7I7J3ZQ,B001C4Q06G,5.0,1266896366000
AGLQQCIS5V6EGUCS5SSNHWZHQM6Q,B00005Q7DJ,5.0,1127183434000
AHBIEPRTTYN6PDTDNDIQJKKETJIQ,B0037STB02,5.0,1494784462000
AEQ7Y56NEUZTFG2QJYQ4T32EIUZA,B00006KOL8,5.0,1196699321000
AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B0032KHQTS,5.0,1605129604446
AEKAQ5SHLEIE44SA3WXLLKD4RJVA,B06XWB4X41,5.0,1594588833136
AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B001U5SPHO,4.0,1571847579105
AHCDZ4OXU7U4AWYCAK2674R3NYVQ,B000H4W7VY,5.0,1419271697000
