,user_id,item_id,rating,timestamp,age,gender,occupation,zipcode
0,259,255,4,874724710,21,M,student,48823
1,259,286,4,874724727,21,M,student,48823
2,259,298,4,874724754,21,M,student,48823
3,259,185,4,874724781,21,M,student,48823
4,259,173,4,874724843,21,M,student,48823
5,259,772,4,874724882,21,M,student,48823
6,259,108,4,874724882,21,M,student,48823
7,259,928,4,874724937,21,M,student,48823
8,259,117,4,874724988,21,M,student,48823
9,259,200,4,874725081,21,M,student,48823
10,259,176,4,874725386,21,M,student,48823
11,259,210,4,874725485,21,M,student,48823
12,259,357,5,874725485,21,M,student,48823
13,259,181,4,874809057,21,M,student,48823
14,259,317,5,874809057,21,M,student,48823
15,259,98,4,874809091,21,M,student,48823
16,259,12,5,874809192,21,M,student,48823
17,259,97,4,874809292,21,M,student,48823
18,259,168,5,876365003,21,M,student,48823
19,259,154,5,876365003,21,M,student,48823
20,259,179,4,877924028,21,M,student,48823
21,259,180,5,877925033,21,M,student,48823
22,259,475,5,877925049,21,M,student,48823
23,259,1135,5,877926006,21,M,student,48823
24,259,313,5,883370924,21,M,student,48823
25,259,748,4,883371839,21,M,student,48823
26,259,293,4,883371861,21,M,student,48823
27,259,172,4,883371882,21,M,student,48823
28,259,750,4,888630424,21,M,student,48823
29,259,147,4,888630664,21,M,student,48823
30,259,484,4,888720541,21,M,student,48823
31,259,959,4,888720593,21,M,student,48823
32,259,39,4,888720644,21,M,student,48823
33,851,295,5,874728370,18,M,other,29646
34,851,544,4,874728396,18,M,other,29646
35,851,473,4,874728396,18,M,other,29646
36,851,290,4,874728430,18,M,other,29646
37,851,147,4,874728461,18,M,other,29646
38,851,121,4,874728565,18,M,other,29646
39,851,742,5,874767519,18,M,other,29646
40,851,824,4,874767550,18,M,other,29646
41,851,405,5,874767550,18,M,other,29646
42,851,924,4,874789109,18,M,other,29646
43,851,879,4,875729820,18,M,other,29646
44,851,291,4,875730244,18,M,other,29646
45,851,248,4,875730379,18,M,other,29646
46,851,123,4,875730379,18,M,other,29646
47,851,410,4,875730379,18,M,other,29646
48,851,250,5,875730379,18,M,other,29646
49,851,129,4,875730379,18,M,other,29646
50,851,9,4,875730379,18,M,other,29646
51,851,298,5,875730379,18,M,other,29646
52,851,109,4,875730379,18,M,other,29646
53,851,760,4,875730418,18,M,other,29646
54,851,825,4,875730533,18,M,other,29646
55,851,363,4,875730629,18,M,other,29646
56,851,619,4,875730629,18,M,other,29646
57,851,240,4,875730629,18,M,other,29646
58,851,597,4,875730686,18,M,other,29646
59,851,826,4,875730719,18,M,other,29646
60,851,1245,4,875730826,18,M,other,29646
61,851,125,4,875730826,18,M,other,29646
62,851,685,4,875731022,18,M,other,29646
63,851,831,5,875731105,18,M,other,29646
64,851,234,4,875731189,18,M,other,29646
65,851,160,5,875731224,18,M,other,29646
66,851,435,4,875731225,18,M,other,29646
67,851,553,4,875731225,18,M,other,29646
68,851,95,4,875731282,18,M,other,29646
69,851,22,5,875731330,18,M,other,29646
70,851,128,4,875731330,18,M,other,29646
71,851,238,5,875731330,18,M,other,29646
72,851,806,4,875731330,18,M,other,29646
73,851,132,4,875731370,18,M,other,29646
74,851,12,4,875731370,18,M,other,29646
75,851,182,5,875731406,18,M,other,29646
76,851,480,5,875731406,18,M,other,29646
77,851,11,5,875731441,18,M,other,29646
78,851,192,4,875731441,18,M,other,29646
79,851,4,5,875731489,18,M,other,29646
